encoder,iter,coverage_size,new_bins
rate,0,9,9
rate,1,11,2
rate,2,12,1
rate,3,13,1
rate,4,13,0
rate,5,13,0
rate,6,13,0
rate,7,14,1
rate,8,15,1
rate,9,15,0
rate,10,15,0
rate,11,15,0
rate,12,15,0
rate,13,15,0
rate,14,15,0
rate,15,15,0
rate,16,15,0
rate,17,15,0
rate,18,15,0
rate,19,15,0
rate,20,15,0
rate,21,15,0
rate,22,15,0
rate,23,15,0
rate,24,15,0
rate,25,16,1
rate,26,16,0
rate,27,16,0
rate,28,16,0
rate,29,16,0
rate,30,16,0
rate,31,16,0
rate,32,16,0
rate,33,16,0
rate,34,16,0
rate,35,16,0
rate,36,16,0
rate,37,16,0
rate,38,17,1
rate,39,17,0
rate,40,17,0
rate,41,17,0
rate,42,17,0
rate,43,17,0
rate,44,17,0
rate,45,17,0
rate,46,17,0
rate,47,17,0
rate,48,17,0
rate,49,17,0
rate,50,17,0
rate,51,17,0
rate,52,17,0
rate,53,17,0
rate,54,17,0
rate,55,17,0
rate,56,17,0
rate,57,17,0
rate,58,17,0
rate,59,17,0
rate,60,17,0
rate,61,17,0
rate,62,17,0
rate,63,17,0
rate,64,17,0
rate,65,17,0
rate,66,17,0
rate,67,17,0
rate,68,17,0
rate,69,17,0
rate,70,17,0
rate,71,17,0
rate,72,17,0
rate,73,17,0
rate,74,17,0
rate,75,17,0
rate,76,17,0
rate,77,17,0
rate,78,17,0
rate,79,17,0
sparse,0,23,6
sparse,1,24,1
sparse,2,25,1
sparse,3,27,2
sparse,4,27,0
sparse,5,27,0
sparse,6,27,0
sparse,7,27,0
sparse,8,28,1
sparse,9,29,1
sparse,10,29,0
sparse,11,29,0
sparse,12,30,1
sparse,13,30,0
sparse,14,30,0
sparse,15,30,0
sparse,16,30,0
sparse,17,30,0
sparse,18,30,0
sparse,19,30,0
sparse,20,30,0
sparse,21,30,0
sparse,22,30,0
sparse,23,30,0
sparse,24,30,0
sparse,25,30,0
sparse,26,30,0
sparse,27,30,0
sparse,28,30,0
sparse,29,30,0
sparse,30,31,1
sparse,31,31,0
sparse,32,31,0
sparse,33,31,0
sparse,34,31,0
sparse,35,31,0
sparse,36,31,0
sparse,37,31,0
sparse,38,31,0
sparse,39,31,0
sparse,40,31,0
sparse,41,31,0
sparse,42,31,0
sparse,43,31,0
sparse,44,31,0
sparse,45,31,0
sparse,46,31,0
sparse,47,31,0
sparse,48,31,0
sparse,49,31,0
sparse,50,31,0
sparse,51,32,1
sparse,52,32,0
sparse,53,32,0
sparse,54,32,0
sparse,55,32,0
sparse,56,32,0
sparse,57,32,0
sparse,58,32,0
sparse,59,32,0
sparse,60,32,0
sparse,61,32,0
sparse,62,32,0
sparse,63,32,0
sparse,64,32,0
sparse,65,32,0
sparse,66,32,0
sparse,67,32,0
sparse,68,32,0
sparse,69,32,0
sparse,70,32,0
sparse,71,32,0
sparse,72,32,0
sparse,73,32,0
sparse,74,32,0
sparse,75,32,0
sparse,76,32,0
sparse,77,32,0
sparse,78,32,0
sparse,79,32,0
temporal,0,39,7
temporal,1,43,4
temporal,2,44,1
temporal,3,44,0
temporal,4,45,1
temporal,5,46,1
temporal,6,46,0
temporal,7,47,1
temporal,8,47,0
temporal,9,47,0
temporal,10,47,0
temporal,11,47,0
temporal,12,47,0
temporal,13,47,0
temporal,14,47,0
temporal,15,47,0
temporal,16,47,0
temporal,17,47,0
temporal,18,47,0
temporal,19,47,0
temporal,20,48,1
temporal,21,48,0
temporal,22,48,0
temporal,23,48,0
temporal,24,48,0
temporal,25,48,0
temporal,26,48,0
temporal,27,48,0
temporal,28,49,1
temporal,29,49,0
temporal,30,49,0
temporal,31,49,0
temporal,32,49,0
temporal,33,49,0
temporal,34,49,0
temporal,35,49,0
temporal,36,49,0
temporal,37,49,0
temporal,38,49,0
temporal,39,49,0
temporal,40,49,0
temporal,41,49,0
temporal,42,49,0
temporal,43,49,0
temporal,44,49,0
temporal,45,49,0
temporal,46,49,0
temporal,47,49,0
temporal,48,49,0
temporal,49,49,0
temporal,50,49,0
temporal,51,49,0
temporal,52,49,0
temporal,53,49,0
temporal,54,49,0
temporal,55,49,0
temporal,56,49,0
temporal,57,49,0
temporal,58,49,0
temporal,59,49,0
temporal,60,49,0
temporal,61,49,0
temporal,62,50,1
temporal,63,50,0
temporal,64,50,0
temporal,65,50,0
temporal,66,50,0
temporal,67,50,0
temporal,68,50,0
temporal,69,50,0
temporal,70,50,0
temporal,71,50,0
temporal,72,50,0
temporal,73,50,0
temporal,74,50,0
temporal,75,50,0
temporal,76,50,0
temporal,77,50,0
temporal,78,50,0
temporal,79,50,0
optim,0,58,8
optim,1,61,3
optim,2,61,0
optim,3,61,0
optim,4,61,0
optim,5,61,0
optim,6,62,1
optim,7,63,1
optim,8,63,0
optim,9,63,0
optim,10,63,0
optim,11,63,0
optim,12,66,3
optim,13,66,0
optim,14,66,0
optim,15,66,0
optim,16,66,0
optim,17,66,0
optim,18,66,0
optim,19,66,0
optim,20,66,0
optim,21,66,0
optim,22,67,1
optim,23,67,0
optim,24,67,0
optim,25,67,0
optim,26,67,0
