encoder,iter,seed_idx,op,level,y_true,y_pred,correct,severity,rep_dist,score
temporal,37,56,occlusion,0.7236215947503192,1,3,0,3.973642988461876e-08,5.914727687835693,2.4786819616953535
optim,37,111,dropout,0.9318491695691423,0,3,0,3.973642988461876e-08,5.431070327758789,2.3577676216761274
temporal,35,111,occlusion,0.8956755421074547,0,3,0,0.0,5.263606548309326,2.3159016370773315
rate,47,113,dropout,0.372334416394529,0,2,0,0.04999999999999875,4.933652400970459,2.2834131002426137
temporal,18,113,occlusion,0.6280755517230042,0,3,0,0.0,5.099839687347412,2.274959921836853
optim,76,113,dropout,0.4808207400961898,0,2,0,1.0182460152151144e-07,5.092945098876953,2.2732363765438395
rate,63,113,dropout,0.6919978294952835,0,2,0,0.0,5.077233791351318,2.2693084478378296
temporal,19,113,occlusion,0.3084904017634873,0,2,0,0.0,5.059972763061523,2.264993190765381
temporal,26,111,dropout,0.6020699331314198,0,3,0,0.0,5.056633472442627,2.2641583681106567
optim,70,113,dropout,0.4423967423404581,0,2,0,3.973642988461876e-08,5.0530924797058105,2.263273159662883
optim,23,113,dropout,0.7862548343548508,0,2,0,3.973642988461876e-08,5.014193058013916,2.253548304239909
temporal,73,63,dropout,0.8518849023181582,1,2,0,3.973642988461876e-08,5.004208564758301,2.2510521809260053
temporal,27,113,dropout,0.5222821679423912,0,2,0,0.0,5.000000476837158,2.2500001192092896
temporal,0,113,dropout,0.8035175611709833,0,3,0,1.6391277315840412e-07,4.984368324279785,2.2460922449827194
rate,77,113,dropout,0.9341989239214881,0,3,0,3.973642988461876e-08,4.983010768890381,2.2457527319590254
rate,50,63,dropout,0.9904910005512707,1,2,0,3.973642988461876e-08,4.9740777015686035,2.243519465128581
optim,58,125,dropout,0.9960380341595904,0,2,0,0.0,4.927323341369629,2.2318308353424072
temporal,0,123,dropout,0.6044270772610679,1,2,0,3.973642988461876e-08,4.923058986663818,2.2307647864023847
temporal,18,113,occlusion,0.7899793062915312,0,2,0,0.0,4.919824600219727,2.2299561500549316
temporal,67,118,dropout,0.8252506815316921,1,0,0,0.0,4.886290550231934,2.2215726375579834
rate,41,63,occlusion,0.96098529344463,1,2,0,0.0,4.8847737312316895,2.2211934328079224
temporal,64,56,occlusion,0.3264561222757799,1,3,0,1.0182460152151144e-07,4.868952751159668,2.217238289614518
temporal,29,111,occlusion,0.5837029507961101,0,3,0,1.0182460152151144e-07,4.868654251098633,2.2171636645992594
temporal,56,111,occlusion,0.7780221365630786,0,3,0,0.0,4.863458156585693,2.2158645391464233
