encoder,op,level,accuracy,max_severity,mean_severity,violation_rate
rate,clean,0.0,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,clean,0.25,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,clean,0.5,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,clean,0.75,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,clean,1.0,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,noise,0.0,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,noise,0.25,0.294,2.880891164321895e-07,2.9630959048310944e-08,0.441
rate,noise,0.5,0.301,1.6391277315840412e-07,2.747029067460693e-08,0.421
rate,noise,0.75,0.296,0.024999999999999373,0.0001250253145893514,0.403
rate,noise,1.0,0.29,0.12499999999999686,0.0008250289604067733,0.437
rate,blur,0.0,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,blur,0.25,0.303,0.12499999999999686,0.000400025749206546,0.403
rate,blur,0.5,0.314,0.12499999999999686,0.00017502722442151,0.409
rate,blur,0.75,0.317,0.07499999999999812,0.00010002459685008685,0.371
rate,blur,1.0,0.317,2.2600094479529683e-07,2.6429692917639543e-08,0.412
rate,dropout,0.0,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,dropout,0.25,0.314,0.27499999999999314,0.0014500265638033318,0.446
rate,dropout,0.5,0.301,0.0999999999999975,0.0011250246589382335,0.433
rate,dropout,0.75,0.316,0.07499999999999812,0.0009500258088111777,0.445
rate,dropout,1.0,0.295,0.12499999999999686,0.0011250268643100908,0.447
rate,occlusion,0.0,0.301,0.49999999999998745,0.003750026238461255,0.487
rate,occlusion,0.25,0.302,0.49999999999998745,0.003700025232632875,0.458
rate,occlusion,0.5,0.304,0.49999999999998745,0.0038000261664389743,0.47
rate,occlusion,0.75,0.291,0.49999999999998745,0.0023500259528557005,0.456
rate,occlusion,1.0,0.289,0.49999999999998745,0.0020000280216335886,0.457
sparse,clean,0.0,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
sparse,clean,0.25,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
