encoder,op,level,dist_h0,dist_h1,topo_dist,TSI,tau_scale
rate,clean,0.0,0.0,0.0,0.0,1.0,0.1464417278766632
rate,clean,0.25,0.0,0.0,0.0,1.0,0.1464417278766632
rate,clean,0.5,0.0,0.0,0.0,1.0,0.1464417278766632
rate,clean,0.75,0.0,0.0,0.0,1.0,0.1464417278766632
rate,clean,1.0,0.0,0.0,0.0,1.0,0.1464417278766632
rate,noise,0.0,0.0,0.0,0.0,1.0,0.1464417278766632
rate,noise,0.25,0.10495620965957642,0.06623107194900513,0.17118728160858154,0.3106840365392012,0.1464417278766632
rate,noise,0.5,0.18554475903511047,0.08856631815433502,0.2741110771894455,0.15384496444546256,0.1464417278766632
rate,noise,0.75,0.23695063591003418,0.08856631815433502,0.3255169540643692,0.1083007832145868,0.1464417278766632
rate,noise,1.0,0.2623816430568695,0.08856631815433502,0.35094796121120453,0.09103579840665303,0.1464417278766632
rate,blur,0.0,0.0,0.0,0.0,1.0,0.1464417278766632
rate,blur,0.25,0.02657666802406311,0.01849314570426941,0.04506981372833252,0.7350871632141308,0.1464417278766632
rate,blur,0.5,0.07490342855453491,0.03226730227470398,0.10717073082923889,0.48102697967320845,0.1464417278766632
rate,blur,0.75,0.05280590057373047,0.038628727197647095,0.09143462777137756,0.5355958010911865,0.1464417278766632
rate,blur,1.0,0.05881613492965698,0.040943413972854614,0.0997595489025116,0.5059975168998728,0.1464417278766632
rate,dropout,0.0,0.0,0.0,0.0,1.0,0.1464417278766632
rate,dropout,0.25,0.07734137773513794,0.053646475076675415,0.13098785281181335,0.40882388172664086,0.1464417278766632
rate,dropout,0.5,0.10237622261047363,0.05951938033103943,0.16189560294151306,0.3310356593284937,0.1464417278766632
rate,dropout,0.75,0.05975604057312012,0.038101762533187866,0.09785780310630798,0.5126114380220083,0.1464417278766632
rate,dropout,1.0,0.3579671382904053,0.06563952565193176,0.42360666394233704,0.055428373685890965,0.1464417278766632
rate,occlusion,0.0,0.0,0.0,0.0,1.0,0.1464417278766632
rate,occlusion,0.25,0.04454523324966431,0.037810325622558594,0.0823555588722229,0.5698525260205193,0.1464417278766632
rate,occlusion,0.5,0.053310245275497437,0.0446811318397522,0.09799137711524963,0.5121440825231391,0.1464417278766632
rate,occlusion,0.75,0.5376436114311218,0.06429317593574524,0.6019367873668671,0.016400909317065508,0.1464417278766632
rate,occlusion,1.0,0.35313862562179565,0.07839632034301758,0.43153494596481323,0.052507295528079034,0.1464417278766632
sparse,clean,0.0,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,clean,0.25,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,clean,0.5,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,clean,0.75,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,clean,1.0,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,noise,0.0,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,noise,0.25,0.18880581855773926,0.032803311944007874,0.22160913050174713,0.23576881754980133,0.15337295830249786
sparse,noise,0.5,0.21252582967281342,0.032803311944007874,0.2453291416168213,0.20198551366808615,0.15337295830249786
sparse,noise,0.75,0.2516725957393646,0.032803311944007874,0.2844759076833725,0.15648449694955804,0.15337295830249786
sparse,noise,1.0,0.2516725957393646,0.032803311944007874,0.2844759076833725,0.15648449694955804,0.15337295830249786
sparse,blur,0.0,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,blur,0.25,0.04062157869338989,0.019081711769104004,0.059703290462493896,0.6775521944850859,0.15337295830249786
sparse,blur,0.5,0.05004587769508362,0.02675442397594452,0.07680030167102814,0.6060807027059477,0.15337295830249786
sparse,blur,0.75,0.0456584095954895,0.03819023072719574,0.08384864032268524,0.5788582332433708,0.15337295830249786
sparse,blur,1.0,0.04237574338912964,0.027393296360969543,0.06976903975009918,0.6345127355616353,0.15337295830249786
sparse,dropout,0.0,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,dropout,0.25,0.0527060329914093,0.025553375482559204,0.0782594084739685,0.6003421211052589,0.15337295830249786
sparse,dropout,0.5,0.08406996726989746,0.027153700590133667,0.11122366786003113,0.4842352957837773,0.15337295830249786
sparse,dropout,0.75,0.06450745463371277,0.03178611397743225,0.09629356861114502,0.5337438237889999,0.15337295830249786
sparse,dropout,1.0,0.49679797887802124,0.036367520689964294,0.5331654995679855,0.030922600598863856,0.15337295830249786
sparse,occlusion,0.0,0.0,0.0,0.0,1.0,0.15337295830249786
sparse,occlusion,0.25,0.16600269079208374,0.02951955795288086,0.1955222487449646,0.27948248385644975,0.15337295830249786
sparse,occlusion,0.5,0.05780845880508423,0.03245064616203308,0.09025910496711731,0.555162588507535,0.15337295830249786
sparse,occlusion,0.75,0.23814940452575684,0.021436408162117004,0.25958581268787384,0.1840563042775192,0.15337295830249786
sparse,occlusion,1.0,0.1731739193201065,0.07272829115390778,0.24590221047401428,0.20123221511806438,0.15337295830249786
temporal,clean,0.0,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,clean,0.25,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,clean,0.5,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,clean,0.75,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,clean,1.0,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,noise,0.0,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,noise,0.25,0.15242677927017212,0.08746325969696045,0.23989003896713257,0.24770905154554496,0.17190252244472504
temporal,noise,0.5,0.12061816453933716,0.09567412734031677,0.21629229187965393,0.28415756182780944,0.17190252244472504
temporal,noise,0.75,0.2557365298271179,0.09567412734031677,0.3514106571674347,0.12947807071445436,0.17190252244472504
temporal,noise,1.0,0.36449766159057617,0.09567412734031677,0.46017178893089294,0.06877365860237143,0.17190252244472504
temporal,blur,0.0,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,blur,0.25,0.02433290332555771,0.027886539697647095,0.0522194430232048,0.7380279588247531,0.17190252244472504
temporal,blur,0.5,0.041888147592544556,0.058789074420928955,0.10067722201347351,0.55673573237131,0.17190252244472504
temporal,blur,0.75,0.06063729524612427,0.04716157913208008,0.10779887437820435,0.5341422796859054,0.17190252244472504
temporal,blur,1.0,0.08867168426513672,0.056749165058135986,0.1454208493232727,0.4291496960279124,0.17190252244472504
temporal,dropout,0.0,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,dropout,0.25,0.07111376523971558,0.09567412734031677,0.16678789258003235,0.37898944727344663,0.17190252244472504
temporal,dropout,0.5,0.10981130599975586,0.09567412734031677,0.20548543334007263,0.3025949403277057,0.17190252244472504
temporal,dropout,0.75,0.06262582540512085,0.08746325969696045,0.1500890851020813,0.41765239843403906,0.17190252244472504
temporal,dropout,1.0,0.09741652011871338,0.09567412734031677,0.19309064745903015,0.3252189514992369,0.17190252244472504
temporal,occlusion,0.0,0.0,0.0,0.0,1.0,0.17190252244472504
temporal,occlusion,0.25,0.06169486045837402,0.08622878789901733,0.14792364835739136,0.4229467951819937,0.17190252244472504
temporal,occlusion,0.5,0.15730637311935425,0.08639389276504517,0.24370026588439941,0.2422789708973377,0.17190252244472504
temporal,occlusion,0.75,0.06862327456474304,0.08616775274276733,0.15479102730751038,0.4063834325932075,0.17190252244472504
temporal,occlusion,1.0,0.09148776531219482,0.0855293869972229,0.17701715230941772,0.3570951228596247,0.17190252244472504
optim,clean,0.0,0.0,0.0,0.0,1.0,0.20246021449565887
optim,clean,0.25,0.0,0.0,0.0,1.0,0.20246021449565887
optim,clean,0.5,0.0,0.0,0.0,1.0,0.20246021449565887
optim,clean,0.75,0.0,0.0,0.0,1.0,0.20246021449565887
optim,clean,1.0,0.0,0.0,0.0,1.0,0.20246021449565887
optim,noise,0.0,0.0,0.0,0.0,1.0,0.20246021449565887
optim,noise,0.25,0.13416042923927307,0.06648716330528259,0.20064759254455566,0.3711878458444371,0.20246021449565887
optim,noise,0.5,0.27456220984458923,0.06648716330528259,0.3410493731498718,0.18553246537445084,0.20246021449565887
optim,noise,0.75,0.2992817759513855,0.07926216721534729,0.3785439431667328,0.15416679893815452,0.20246021449565887
optim,noise,1.0,0.28594154119491577,0.08550012111663818,0.37144166231155396,0.15967093007868893,0.20246021449565887
optim,blur,0.0,0.0,0.0,0.0,1.0,0.20246021449565887
optim,blur,0.25,0.026990026235580444,0.024552732706069946,0.05154275894165039,0.7752403558791385,0.20246021449565887
optim,blur,0.5,0.06274884939193726,0.05777066946029663,0.12051951885223389,0.5514108670663055,0.20246021449565887
optim,blur,0.75,0.054687678813934326,0.04620254039764404,0.10089021921157837,0.6075497520590486,0.20246021449565887
optim,blur,1.0,0.074461430311203,0.04627084732055664,0.12073227763175964,0.5508317118855163,0.20246021449565887
optim,dropout,0.0,0.0,0.0,0.0,1.0,0.20246021449565887
optim,dropout,0.25,0.0784558355808258,0.06197425723075867,0.14043009281158447,0.4997645376852383,0.20246021449565887
optim,dropout,0.5,0.0732138454914093,0.06648716330528259,0.1397010087966919,0.5015674953471971,0.20246021449565887
optim,dropout,0.75,0.23834013938903809,0.06648716330528259,0.3048273026943207,0.2218806123231161,0.20246021449565887
optim,dropout,1.0,0.4856177568435669,0.08740922808647156,0.5730269849300385,0.058994033582294214,0.20246021449565887
optim,occlusion,0.0,0.0,0.0,0.0,1.0,0.20246021449565887
optim,occlusion,0.25,0.10839113593101501,0.04510694742202759,0.1534980833530426,0.46852576498448495,0.20246021449565887
optim,occlusion,0.5,0.15662357211112976,0.047649264335632324,0.20427283644676208,0.36460052437528095,0.20246021449565887
optim,occlusion,0.75,0.19253790378570557,0.05336266756057739,0.24590057134628296,0.296839872271434,0.20246021449565887
optim,occlusion,1.0,0.14971193671226501,0.07897305488586426,0.22868499159812927,0.32318494929879854,0.20246021449565887
