encoder,op,level,accuracy,max_severity,mean_severity,violation_rate
rate,clean,0.0,0.305,2.149999999999946,0.009156277390196704,0.495
rate,clean,0.25,0.305,2.149999999999946,0.009156277390196704,0.495
rate,clean,0.5,0.305,2.149999999999946,0.009156277390196704,0.495
rate,clean,0.75,0.305,2.149999999999946,0.009156277390196704,0.495
rate,clean,1.0,0.305,2.149999999999946,0.009156277390196704,0.495
rate,noise,0.0,0.305,2.149999999999946,0.009156277390196704,0.495
rate,noise,0.25,0.295,2.2600094479529683e-07,3.002273541148777e-08,0.445
rate,noise,0.5,0.2875,2.2600094479529683e-07,2.5943542533602398e-08,0.40875
rate,noise,0.75,0.30375,0.024999999999999373,6.252872509262166e-05,0.41875
rate,noise,1.0,0.275,0.07499999999999812,0.0009375260273615417,0.43
rate,blur,0.0,0.305,2.149999999999946,0.009156277390196704,0.495
rate,blur,0.25,0.3025,0.9499999999999762,0.0029062752046932184,0.3925
rate,blur,0.5,0.2975,0.12499999999999686,0.0004375317208468945,0.43875
rate,blur,0.75,0.3,0.024999999999999373,3.127795519929399e-05,0.41375
rate,blur,1.0,0.29375,0.04999999999999875,6.252754231295238e-05,0.42875
rate,dropout,0.0,0.305,2.149999999999946,0.009156277390196704,0.495
rate,dropout,0.25,0.30875,0.8999999999999775,0.0035625275267908217,0.47375
rate,dropout,0.5,0.29375,0.07499999999999812,0.000843775865932298,0.43625
rate,dropout,0.75,0.3025,0.07499999999999812,0.0013437772722293734,0.46375
rate,dropout,1.0,0.2975,0.07499999999999812,0.0008125274181365897,0.43875
rate,occlusion,0.0,0.305,2.149999999999946,0.009156277390196704,0.495
rate,occlusion,0.25,0.29625,1.9999999999999498,0.008125026564424044,0.4775
rate,occlusion,0.5,0.28875,2.0999999999999472,0.008218777650967046,0.485
rate,occlusion,0.75,0.27375,1.474999999999963,0.005812524499992398,0.4575
rate,occlusion,1.0,0.28125,1.074999999999973,0.005531274372711652,0.4525
sparse,clean,0.0,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,clean,0.25,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,clean,0.5,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,clean,0.75,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,clean,1.0,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,noise,0.0,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,noise,0.25,0.2925,2.2600094479529683e-07,2.689349155923052e-08,0.3975
sparse,noise,0.5,0.26375,2.2600094479529683e-07,2.7905528757420723e-08,0.41125
sparse,noise,0.75,0.265,2.2600094479529683e-07,2.841465176618477e-08,0.4475
sparse,noise,1.0,0.26125,2.2600094479529683e-07,2.7498851233615408e-08,0.4225
sparse,blur,0.0,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,blur,0.25,0.29125,2.2600094479529683e-07,2.5505820923516048e-08,0.4075
sparse,blur,0.5,0.285,2.2600094479529683e-07,2.8026600692297705e-08,0.41625
sparse,blur,0.75,0.29125,2.2600094479529683e-07,2.4608646842021426e-08,0.37125
sparse,blur,1.0,0.3025,2.2600094479529683e-07,2.6828298979890713e-08,0.42125
sparse,dropout,0.0,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,dropout,0.25,0.28,1.6391277315840412e-07,2.7641654028657824e-08,0.43
sparse,dropout,0.5,0.29875,2.880891164321895e-07,2.7185305966340254e-08,0.40875
sparse,dropout,0.75,0.30375,2.2600094479529683e-07,2.943910659842479e-08,0.45375
sparse,dropout,1.0,0.2675,2.2600094479529683e-07,2.9020011439413172e-08,0.44125
sparse,occlusion,0.0,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
sparse,occlusion,0.25,0.295,1.6391277315840412e-07,2.697420618286734e-08,0.41125
sparse,occlusion,0.5,0.28375,1.6391277315840412e-07,2.515191834500072e-08,0.4025
sparse,occlusion,0.75,0.28125,1.6391277315840412e-07,2.6648243282698834e-08,0.43625
sparse,occlusion,1.0,0.25875,2.2600094479529683e-07,2.6353324466498415e-08,0.41125
temporal,clean,0.0,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,clean,0.25,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,clean,0.5,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,clean,0.75,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,clean,1.0,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,noise,0.0,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,noise,0.25,0.2775,2.2600094479529683e-07,2.8107315315934517e-08,0.43
temporal,noise,0.5,0.31625,2.2600094479529683e-07,2.740571897592878e-08,0.41625
temporal,noise,0.75,0.3,0.04999999999999875,0.00012502916591863926,0.435
temporal,noise,1.0,0.275,0.0999999999999975,0.0012500276385495881,0.4425
temporal,blur,0.0,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,blur,0.25,0.29375,0.9499999999999762,0.002906280081719101,0.43125
temporal,blur,0.5,0.29,0.12499999999999686,0.000437526542693379,0.41
temporal,blur,0.75,0.285,0.024999999999999373,3.127906657756689e-05,0.43
temporal,blur,1.0,0.28875,0.04999999999999875,6.252483837307616e-05,0.39
temporal,dropout,0.0,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,dropout,0.25,0.28375,0.79999999999998,0.0029375260894496636,0.44125
temporal,dropout,0.5,0.31375,0.22499999999999437,0.0016875281880298965,0.465
temporal,dropout,0.75,0.30125,0.14999999999999625,0.0015937758379926008,0.42
temporal,dropout,1.0,0.2825,0.22499999999999437,0.0017500260863452838,0.4375
temporal,occlusion,0.0,0.28875,2.149999999999946,0.009156275105351986,0.46875
temporal,occlusion,0.25,0.2975,1.9749999999999506,0.00865627584730565,0.4625
temporal,occlusion,0.5,0.28625,1.9249999999999519,0.007781275105352021,0.455
temporal,occlusion,0.75,0.295,1.7249999999999568,0.005781277613714207,0.45125
temporal,occlusion,1.0,0.27125,5.3999999999998645,0.03937502365559242,0.42625
optim,clean,0.0,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,clean,0.25,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,clean,0.5,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,clean,0.75,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,clean,1.0,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,noise,0.0,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,noise,0.25,0.295,2.2600094479529683e-07,2.84332782172595e-08,0.43625
optim,noise,0.5,0.29375,2.2600094479529683e-07,2.5453045977069572e-08,0.3925
optim,noise,0.75,0.30625,0.024999999999999373,6.25266948094094e-05,0.42625
optim,noise,1.0,0.245,0.07499999999999812,0.001156272572154784,0.41375
optim,blur,0.0,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,blur,0.25,0.3,0.9499999999999762,0.002906277902424277,0.435
optim,blur,0.5,0.30125,0.12499999999999686,0.0004375270859648808,0.41
optim,blur,0.75,0.295,0.024999999999999373,3.127637195091679e-05,0.40125
optim,blur,1.0,0.29375,0.04999999999999875,6.252978680035719e-05,0.4325
optim,dropout,0.0,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,dropout,0.25,0.28875,0.9999999999999749,0.003687527371570388,0.44375
optim,dropout,0.5,0.31,0.12499999999999686,0.001437526387472925,0.45375
optim,dropout,0.75,0.30375,0.1749999999999956,0.001750024971862603,0.4275
optim,dropout,1.0,0.3075,0.07499999999999812,0.0015625249749670167,0.44875
optim,occlusion,0.0,0.3,2.149999999999946,0.009156276666869502,0.47875
optim,occlusion,0.25,0.29625,2.0499999999999488,0.00884377671033123,0.48125
optim,occlusion,0.5,0.2925,1.8249999999999542,0.00743752887410405,0.4825
optim,occlusion,0.75,0.2925,1.5249999999999617,0.0067187765302755866,0.455
optim,occlusion,1.0,0.28,1.0999999999999726,0.005062524844581768,0.44375
