encoder,iter,coverage_size,new_bins
rate,0,2,2
rate,1,2,0
rate,2,2,0
rate,3,2,0
rate,4,2,0
rate,5,2,0
rate,6,2,0
rate,7,2,0
rate,8,2,0
rate,9,2,0
rate,10,2,0
rate,11,2,0
rate,12,2,0
rate,13,2,0
rate,14,2,0
rate,15,2,0
rate,16,2,0
rate,17,3,1
rate,18,3,0
rate,19,3,0
rate,20,4,1
rate,21,4,0
rate,22,4,0
rate,23,4,0
rate,24,4,0
rate,25,4,0
rate,26,4,0
rate,27,4,0
rate,28,4,0
rate,29,4,0
rate,30,4,0
rate,31,4,0
rate,32,4,0
rate,33,4,0
rate,34,4,0
rate,35,4,0
rate,36,4,0
rate,37,4,0
rate,38,4,0
rate,39,4,0
rate,40,4,0
rate,41,4,0
rate,42,4,0
rate,43,4,0
rate,44,4,0
rate,45,4,0
rate,46,4,0
rate,47,4,0
rate,48,4,0
rate,49,4,0
rate,50,4,0
rate,51,4,0
rate,52,4,0
rate,53,4,0
rate,54,4,0
rate,55,4,0
rate,56,4,0
rate,57,4,0
rate,58,4,0
rate,59,4,0
rate,60,4,0
rate,61,4,0
rate,62,4,0
rate,63,4,0
rate,64,4,0
rate,65,4,0
rate,66,4,0
rate,67,4,0
rate,68,4,0
rate,69,4,0
rate,70,4,0
rate,71,4,0
rate,72,4,0
rate,73,4,0
rate,74,4,0
rate,75,4,0
rate,76,4,0
rate,77,4,0
rate,78,4,0
rate,79,4,0
sparse,0,6,2
sparse,1,6,0
sparse,2,6,0
sparse,3,6,0
sparse,4,6,0
sparse,5,6,0
sparse,6,6,0
sparse,7,6,0
sparse,8,6,0
sparse,9,6,0
sparse,10,6,0
sparse,11,6,0
sparse,12,6,0
sparse,13,6,0
sparse,14,6,0
sparse,15,6,0
sparse,16,6,0
sparse,17,6,0
sparse,18,6,0
sparse,19,6,0
sparse,20,6,0
sparse,21,6,0
sparse,22,6,0
sparse,23,6,0
sparse,24,6,0
sparse,25,6,0
sparse,26,6,0
sparse,27,6,0
sparse,28,6,0
sparse,29,6,0
sparse,30,6,0
sparse,31,6,0
sparse,32,6,0
sparse,33,6,0
sparse,34,6,0
sparse,35,6,0
sparse,36,6,0
sparse,37,6,0
sparse,38,6,0
sparse,39,6,0
sparse,40,6,0
sparse,41,6,0
sparse,42,6,0
sparse,43,6,0
sparse,44,6,0
sparse,45,6,0
sparse,46,6,0
sparse,47,6,0
sparse,48,6,0
sparse,49,6,0
sparse,50,6,0
sparse,51,6,0
sparse,52,6,0
sparse,53,6,0
sparse,54,6,0
sparse,55,6,0
sparse,56,6,0
sparse,57,6,0
sparse,58,6,0
sparse,59,6,0
sparse,60,6,0
sparse,61,6,0
sparse,62,6,0
sparse,63,6,0
sparse,64,6,0
sparse,65,6,0
sparse,66,6,0
sparse,67,6,0
sparse,68,6,0
sparse,69,6,0
sparse,70,6,0
sparse,71,6,0
sparse,72,6,0
sparse,73,6,0
sparse,74,6,0
sparse,75,7,1
sparse,76,7,0
sparse,77,7,0
sparse,78,7,0
sparse,79,7,0
temporal,0,10,3
temporal,1,10,0
temporal,2,10,0
temporal,3,10,0
temporal,4,10,0
temporal,5,10,0
temporal,6,10,0
temporal,7,10,0
temporal,8,10,0
temporal,9,10,0
temporal,10,10,0
temporal,11,10,0
temporal,12,10,0
temporal,13,10,0
temporal,14,10,0
temporal,15,10,0
temporal,16,10,0
temporal,17,10,0
temporal,18,10,0
temporal,19,10,0
temporal,20,10,0
temporal,21,10,0
temporal,22,10,0
temporal,23,10,0
temporal,24,10,0
temporal,25,10,0
temporal,26,10,0
temporal,27,10,0
temporal,28,10,0
temporal,29,10,0
temporal,30,10,0
temporal,31,10,0
temporal,32,10,0
temporal,33,10,0
temporal,34,10,0
temporal,35,11,1
temporal,36,11,0
temporal,37,11,0
temporal,38,11,0
temporal,39,11,0
temporal,40,11,0
temporal,41,11,0
temporal,42,11,0
temporal,43,11,0
temporal,44,11,0
temporal,45,11,0
temporal,46,12,1
temporal,47,13,1
temporal,48,13,0
temporal,49,13,0
temporal,50,14,1
temporal,51,14,0
temporal,52,14,0
temporal,53,14,0
temporal,54,14,0
temporal,55,14,0
temporal,56,14,0
temporal,57,14,0
temporal,58,14,0
temporal,59,14,0
temporal,60,14,0
temporal,61,14,0
temporal,62,14,0
temporal,63,14,0
temporal,64,14,0
temporal,65,14,0
temporal,66,14,0
temporal,67,14,0
temporal,68,14,0
temporal,69,14,0
temporal,70,14,0
temporal,71,14,0
temporal,72,14,0
temporal,73,14,0
temporal,74,14,0
temporal,75,14,0
temporal,76,14,0
temporal,77,14,0
temporal,78,14,0
temporal,79,14,0
optim,0,16,2
optim,1,16,0
optim,2,16,0
optim,3,16,0
optim,4,16,0
optim,5,16,0
optim,6,16,0
optim,7,16,0
optim,8,16,0
optim,9,16,0
optim,10,16,0
optim,11,16,0
