encoder,iter,seed_idx,op,level,y_true,y_pred,correct,severity,rep_dist,score
optim,36,25,occlusion,0.9271794129861222,24,24,1,3.973642988461876e-08,72.34436798095703,18.08609203497569
temporal,27,21,occlusion,0.9883875082668286,1,5,0,1.6391277315840412e-07,66.5229263305664,17.630731746554375
rate,10,13,occlusion,0.9267554205770109,16,19,0,3.973642988461876e-08,62.7686653137207,16.692166368166607
temporal,29,52,occlusion,0.848164996442332,17,19,0,3.973642988461876e-08,62.51589584350586,16.628974000612896
temporal,49,27,occlusion,0.9271936055728954,7,19,0,5.3999999999998645,40.721778869628906,16.58044471740709
temporal,23,32,occlusion,0.8104260067915112,5,6,0,1.0182460152151144e-07,61.970523834228516,16.49263106038173
sparse,28,44,occlusion,0.5487223033952128,17,19,0,0.0,61.714454650878906,16.428613662719727
rate,47,67,occlusion,0.9297766603353705,1,17,0,3.973642988461876e-08,61.53251647949219,16.383129159609478
temporal,55,110,occlusion,0.9981000252537455,20,11,0,3.973642988461876e-08,61.12897872924805,16.282244722048443
optim,32,0,occlusion,0.9959060851485838,3,2,0,0.0,60.87184143066406,16.217960357666016
temporal,53,44,occlusion,0.5263091529259473,17,19,0,3.973642988461876e-08,60.12640380859375,16.03160099188487
sparse,24,71,occlusion,0.9388991007711063,7,8,0,0.0,60.01431655883789,16.003579139709473
optim,77,66,occlusion,0.7834143316641997,9,19,0,0.0,60.00734329223633,16.001835823059082
temporal,22,29,occlusion,0.9166847287453647,2,2,1,0.0,63.71530532836914,15.928826332092285
temporal,28,50,occlusion,0.8735399840617736,5,9,0,0.0,59.52298355102539,15.880745887756348
optim,22,101,occlusion,0.6928144578334031,13,17,0,0.04999999999999875,59.254188537597656,15.863547134399413
optim,31,114,occlusion,0.9662756230461709,15,19,0,0.0,59.226783752441406,15.806695938110352
temporal,15,66,occlusion,0.4966852209813426,9,19,0,0.0,59.055999755859375,15.763999938964844
temporal,44,111,dropout,0.9207911165695616,19,17,0,3.973642988461876e-08,59.0504035949707,15.762600938479105
sparse,57,67,occlusion,0.8705456379472694,1,11,0,3.973642988461876e-08,59.03012466430664,15.75753120581309
sparse,69,55,occlusion,0.9376103124242294,23,19,0,0.0,58.86998748779297,15.717496871948242
optim,57,111,occlusion,0.9208549742990446,19,17,0,0.0,58.23915100097656,15.55978775024414
temporal,7,24,occlusion,0.7491004393047411,18,2,0,0.0,57.7469596862793,15.436739921569824
optim,12,38,occlusion,0.9666612734811502,16,2,0,3.973642988461876e-08,57.312034606933594,15.328008691469828
