encoder,op,level,accuracy,max_severity,mean_severity,violation_rate
rate,clean,0.0,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,clean,0.25,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,clean,0.5,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,clean,0.75,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,clean,1.0,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,noise,0.0,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,noise,0.25,0.766,2.2600094479529683e-07,2.590152953705127e-08,0.39766666666666667
rate,noise,0.5,0.6483333333333333,2.2600094479529683e-07,2.6764969044848835e-08,0.422
rate,noise,0.75,0.45466666666666666,0.024999999999999373,6.669412122833571e-05,0.41233333333333333
rate,noise,1.0,0.283,0.07499999999999812,0.0006916951038771172,0.448
rate,blur,0.0,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,blur,0.25,0.8003333333333333,0.1749999999999956,0.00035002594540517,0.416
rate,blur,0.5,0.8016666666666666,0.22499999999999437,0.00013335914214453098,0.406
rate,blur,0.75,0.8003333333333333,0.04999999999999875,1.669406327937744e-05,0.42833333333333334
rate,blur,1.0,0.7976666666666666,0.024999999999999373,1.6692482928447796e-05,0.404
rate,dropout,0.0,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,dropout,0.25,0.773,0.07499999999999812,0.0004916920458277075,0.41733333333333333
rate,dropout,0.5,0.7546666666666667,0.12499999999999686,0.0006000244602560972,0.39966666666666667
rate,dropout,0.75,0.7016666666666667,0.12499999999999686,0.0007333595717946639,0.43166666666666664
rate,dropout,1.0,0.618,0.0999999999999975,0.0007750274040632717,0.43966666666666665
rate,occlusion,0.0,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
rate,occlusion,0.25,0.785,0.199999999999995,0.0009083600759506135,0.43566666666666665
rate,occlusion,0.5,0.626,0.199999999999995,0.0010083602050940078,0.438
rate,occlusion,0.75,0.3606666666666667,0.1749999999999956,0.001716692554122842,0.43533333333333335
rate,occlusion,1.0,0.13833333333333334,0.199999999999995,0.0016083606761362545,0.44866666666666666
sparse,clean,0.0,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,clean,0.25,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,clean,0.5,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,clean,0.75,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,clean,1.0,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,noise,0.0,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
sparse,noise,0.25,0.572,2.2600094479529683e-07,2.6124219113383403e-08,0.41733333333333333
sparse,noise,0.5,0.35333333333333333,2.2600094479529683e-07,2.652241125403699e-08,0.41433333333333333
