encoder,iter,coverage_size,new_bins
rate,0,2,2
rate,1,2,0
rate,2,2,0
rate,3,2,0
rate,4,3,1
rate,5,3,0
rate,6,3,0
rate,7,3,0
rate,8,3,0
rate,9,3,0
rate,10,3,0
rate,11,3,0
rate,12,3,0
rate,13,3,0
rate,14,3,0
rate,15,3,0
rate,16,3,0
rate,17,3,0
rate,18,3,0
rate,19,3,0
rate,20,3,0
rate,21,3,0
rate,22,3,0
rate,23,3,0
rate,24,3,0
rate,25,3,0
rate,26,3,0
rate,27,3,0
rate,28,3,0
rate,29,3,0
rate,30,3,0
rate,31,3,0
rate,32,3,0
rate,33,3,0
rate,34,3,0
rate,35,4,1
rate,36,5,1
rate,37,5,0
rate,38,5,0
rate,39,5,0
rate,40,5,0
rate,41,5,0
rate,42,5,0
rate,43,5,0
rate,44,5,0
rate,45,5,0
rate,46,5,0
rate,47,5,0
rate,48,5,0
rate,49,5,0
rate,50,5,0
rate,51,5,0
rate,52,5,0
rate,53,5,0
rate,54,5,0
rate,55,5,0
rate,56,5,0
rate,57,5,0
rate,58,5,0
rate,59,5,0
rate,60,5,0
rate,61,5,0
rate,62,5,0
rate,63,5,0
rate,64,5,0
rate,65,5,0
rate,66,5,0
rate,67,5,0
rate,68,5,0
rate,69,5,0
rate,70,5,0
rate,71,5,0
rate,72,5,0
rate,73,5,0
rate,74,5,0
rate,75,5,0
rate,76,5,0
rate,77,5,0
rate,78,5,0
rate,79,5,0
sparse,0,7,2
sparse,1,7,0
sparse,2,7,0
sparse,3,7,0
sparse,4,7,0
sparse,5,7,0
sparse,6,7,0
sparse,7,7,0
sparse,8,7,0
sparse,9,7,0
sparse,10,7,0
sparse,11,7,0
sparse,12,7,0
sparse,13,8,1
sparse,14,8,0
sparse,15,8,0
sparse,16,8,0
sparse,17,8,0
sparse,18,8,0
sparse,19,8,0
sparse,20,9,1
sparse,21,9,0
sparse,22,9,0
sparse,23,9,0
sparse,24,9,0
sparse,25,9,0
sparse,26,9,0
sparse,27,9,0
sparse,28,9,0
sparse,29,9,0
sparse,30,9,0
sparse,31,9,0
sparse,32,9,0
sparse,33,9,0
sparse,34,9,0
sparse,35,9,0
sparse,36,9,0
sparse,37,9,0
sparse,38,9,0
sparse,39,9,0
sparse,40,9,0
sparse,41,9,0
sparse,42,9,0
sparse,43,10,1
sparse,44,10,0
sparse,45,10,0
sparse,46,10,0
sparse,47,10,0
sparse,48,10,0
sparse,49,10,0
sparse,50,10,0
sparse,51,10,0
sparse,52,10,0
sparse,53,10,0
sparse,54,10,0
sparse,55,10,0
sparse,56,10,0
sparse,57,10,0
sparse,58,10,0
sparse,59,10,0
sparse,60,10,0
sparse,61,11,1
sparse,62,11,0
sparse,63,11,0
sparse,64,11,0
sparse,65,11,0
sparse,66,11,0
sparse,67,11,0
sparse,68,11,0
sparse,69,11,0
sparse,70,11,0
sparse,71,11,0
sparse,72,11,0
sparse,73,11,0
sparse,74,11,0
sparse,75,11,0
sparse,76,11,0
sparse,77,11,0
sparse,78,11,0
sparse,79,11,0
temporal,0,13,2
temporal,1,13,0
temporal,2,14,1
temporal,3,15,1
temporal,4,15,0
temporal,5,15,0
temporal,6,17,2
temporal,7,17,0
temporal,8,17,0
temporal,9,17,0
temporal,10,17,0
temporal,11,17,0
temporal,12,17,0
temporal,13,17,0
temporal,14,17,0
temporal,15,17,0
temporal,16,17,0
temporal,17,17,0
temporal,18,17,0
temporal,19,17,0
temporal,20,17,0
temporal,21,17,0
temporal,22,17,0
temporal,23,17,0
temporal,24,17,0
temporal,25,17,0
temporal,26,17,0
temporal,27,17,0
temporal,28,17,0
temporal,29,17,0
temporal,30,17,0
temporal,31,17,0
temporal,32,17,0
temporal,33,17,0
temporal,34,17,0
temporal,35,17,0
temporal,36,17,0
temporal,37,17,0
temporal,38,17,0
temporal,39,17,0
temporal,40,17,0
temporal,41,17,0
temporal,42,17,0
temporal,43,17,0
temporal,44,17,0
temporal,45,17,0
temporal,46,17,0
temporal,47,17,0
temporal,48,17,0
temporal,49,17,0
temporal,50,17,0
temporal,51,17,0
temporal,52,17,0
temporal,53,17,0
temporal,54,17,0
temporal,55,17,0
temporal,56,17,0
temporal,57,17,0
temporal,58,17,0
temporal,59,17,0
temporal,60,17,0
temporal,61,18,1
temporal,62,18,0
temporal,63,18,0
temporal,64,18,0
temporal,65,18,0
temporal,66,18,0
temporal,67,18,0
temporal,68,18,0
temporal,69,18,0
temporal,70,18,0
temporal,71,18,0
temporal,72,18,0
temporal,73,18,0
temporal,74,18,0
temporal,75,18,0
temporal,76,18,0
temporal,77,18,0
temporal,78,18,0
temporal,79,18,0
optim,0,20,2
optim,1,20,0
optim,2,20,0
optim,3,20,0
optim,4,20,0
optim,5,20,0
optim,6,20,0
optim,7,20,0
optim,8,20,0
optim,9,20,0
optim,10,20,0
optim,11,20,0
