encoder,iter,seed_idx,op,level,y_true,y_pred,correct,severity,rep_dist,score
rate,56,126,occlusion,0.9171329213915476,8,11,0,0.0,79.59030151367188,20.89757537841797
optim,67,43,occlusion,0.9388394371228117,11,2,0,3.973642988461876e-08,78.34387969970703,20.58596996466319
optim,15,44,occlusion,0.9724104482382894,17,19,0,0.0,74.4419174194336,19.6104793548584
temporal,70,58,occlusion,0.961887804806186,15,25,0,5.3999999999998645,49.483909606933594,18.770977401733262
temporal,22,25,occlusion,0.9693875401752712,24,19,0,0.0,70.27931213378906,18.569828033447266
sparse,14,126,occlusion,0.927948049473153,8,11,0,3.973642988461876e-08,69.7286605834961,18.432165185610454
rate,54,98,occlusion,0.8017238265028164,11,2,0,1.0182460152151144e-07,68.06436157226562,18.016090494891007
sparse,38,111,occlusion,0.8951096153003596,19,9,0,0.0,65.78034210205078,17.445085525512695
temporal,30,90,occlusion,0.9982245666117747,21,19,0,5.3999999999998645,43.84087371826172,17.360218429565293
sparse,77,25,occlusion,0.9763929631936087,24,19,0,3.973642988461876e-08,64.9920883178711,17.248022119204204
rate,20,44,occlusion,0.9767401147304485,17,19,0,0.0,64.6128158569336,17.1532039642334
temporal,0,44,occlusion,0.8848256142971636,17,11,0,0.0,64.3679428100586,17.09198570251465
temporal,23,55,occlusion,0.9782364089558797,23,11,0,0.04999999999999875,63.518768310546875,16.929692077636716
optim,46,44,occlusion,0.7151878908837541,17,19,0,0.0,63.04250717163086,16.760626792907715
rate,48,53,occlusion,0.9014273670490324,11,11,1,3.973642988461876e-08,66.7519302368164,16.687982598940533
optim,72,98,occlusion,0.8327387041482684,11,2,0,0.0,61.6591911315918,16.41479778289795
rate,16,19,occlusion,0.9167057945027847,21,15,0,1.6391277315840412e-07,61.61851119995117,16.404627963900566
sparse,55,94,occlusion,0.9575830179805056,8,8,1,0.0,65.53177642822266,16.382944107055664
temporal,57,90,occlusion,0.8383002788556736,21,19,0,0.024999999999999373,61.304466247558594,16.351116561889647
sparse,75,43,occlusion,0.873553149506594,11,2,0,0.0,60.776790618896484,16.19419765472412
temporal,76,32,occlusion,0.8896040211799348,5,19,0,0.0,60.69935989379883,16.174839973449707
temporal,21,32,occlusion,0.8390780243577796,5,5,1,1.0182460152151144e-07,63.49958038330078,15.874895197649797
temporal,6,11,occlusion,0.9589280485204315,15,11,0,5.3999999999998645,37.892799377441406,15.873199844360215
temporal,7,102,occlusion,0.9934873806689515,5,25,0,5.3999999999998645,37.20216751098633,15.700541877746446
