encoder,op,level,dist_h0,dist_h1,topo_dist,TSI,tau_scale
rate,clean,0.0,0.0,0.0,0.0,1.0,6.7319111824035645
rate,clean,0.25,0.0,0.0,0.0,1.0,6.7319111824035645
rate,clean,0.5,0.0,0.0,0.0,1.0,6.7319111824035645
rate,clean,0.75,0.0,0.0,0.0,1.0,6.7319111824035645
rate,clean,1.0,0.0,0.0,0.0,1.0,6.7319111824035645
rate,noise,0.0,0.0,0.0,0.0,1.0,6.7319111824035645
rate,noise,0.25,4.699579238891602,1.5459861755371094,6.245565414428711,0.3954404106066962,6.7319111824035645
rate,noise,0.5,7.468975067138672,2.071749687194824,9.540724754333496,0.24238239490991412,6.7319111824035645
rate,noise,0.75,9.273910522460938,2.441067695617676,11.714978218078613,0.17548252702940678,6.7319111824035645
rate,noise,1.0,9.05752182006836,2.864757537841797,11.922279357910156,0.17016110672445314,6.7319111824035645
rate,blur,0.0,0.0,0.0,0.0,1.0,6.7319111824035645
rate,blur,0.25,0.33217430114746094,0.4410533905029297,0.7732276916503906,0.8914908944755564,6.7319111824035645
rate,blur,0.5,0.6359767913818359,0.8224048614501953,1.4583816528320312,0.8052221389577723,6.7319111824035645
rate,blur,0.75,1.1326351165771484,1.167959213256836,2.3005943298339844,0.7105296470562681,6.7319111824035645
rate,blur,1.0,1.747121810913086,1.1072406768798828,2.8543624877929688,0.6544207568888867,6.7319111824035645
rate,dropout,0.0,0.0,0.0,0.0,1.0,6.7319111824035645
rate,dropout,0.25,1.5942983627319336,1.2736568450927734,2.867955207824707,0.6531007181342386,6.7319111824035645
rate,dropout,0.5,4.264591217041016,1.8420734405517578,6.106664657592773,0.4036843620595435,6.7319111824035645
rate,dropout,0.75,5.8643035888671875,2.6091012954711914,8.473404884338379,0.2840251986694621,6.7319111824035645
rate,dropout,1.0,5.001985549926758,2.21627140045166,7.218256950378418,0.34223938577490687,6.7319111824035645
rate,occlusion,0.0,0.0,0.0,0.0,1.0,6.7319111824035645
rate,occlusion,0.25,1.5343704223632812,1.0032806396484375,2.5376510620117188,0.6859445480982876,6.7319111824035645
rate,occlusion,0.5,11.482309341430664,1.7923622131347656,13.27467155456543,0.13919181111747586,6.7319111824035645
rate,occlusion,0.75,11.58216667175293,3.7158918380737305,15.29805850982666,0.10305743168641691,6.7319111824035645
rate,occlusion,1.0,24.12561798095703,4.768704414367676,28.894322395324707,0.01367559331162019,6.7319111824035645
sparse,clean,0.0,0.0,0.0,0.0,1.0,6.11417293548584
sparse,clean,0.25,0.0,0.0,0.0,1.0,6.11417293548584
sparse,clean,0.5,0.0,0.0,0.0,1.0,6.11417293548584
sparse,clean,0.75,0.0,0.0,0.0,1.0,6.11417293548584
sparse,clean,1.0,0.0,0.0,0.0,1.0,6.11417293548584
sparse,noise,0.0,0.0,0.0,0.0,1.0,6.11417293548584
sparse,noise,0.25,9.634832382202148,1.9174938201904297,11.552326202392578,0.1511573402713688,6.11417293548584
sparse,noise,0.5,13.200629234313965,2.1646556854248047,15.36528491973877,0.0810199188779828,6.11417293548584
sparse,noise,0.75,13.200629234313965,2.1646556854248047,15.36528491973877,0.0810199188779828,6.11417293548584
sparse,noise,1.0,13.200629234313965,2.1646556854248047,15.36528491973877,0.0810199188779828,6.11417293548584
sparse,blur,0.0,0.0,0.0,0.0,1.0,6.11417293548584
sparse,blur,0.25,0.5119419097900391,0.6523590087890625,1.1643009185791016,0.8266064615826954,6.11417293548584
sparse,blur,0.5,1.5365848541259766,0.9537668228149414,2.490351676940918,0.6654391896455687,6.11417293548584
sparse,blur,0.75,2.667552947998047,1.1601448059082031,3.82769775390625,0.534706713795496,6.11417293548584
sparse,blur,1.0,4.4087677001953125,1.466958999633789,5.875726699829102,0.3825097772717555,6.11417293548584
sparse,dropout,0.0,0.0,0.0,0.0,1.0,6.11417293548584
sparse,dropout,0.25,4.0811004638671875,0.9439716339111328,5.02507209777832,0.43960760990107267,6.11417293548584
sparse,dropout,0.5,2.0965142250061035,1.462270736694336,3.5587849617004395,0.5587489537620822,6.11417293548584
sparse,dropout,0.75,4.515476226806641,1.8371429443359375,6.352619171142578,0.3538086900729422,6.11417293548584
sparse,dropout,1.0,4.322939872741699,2.8709840774536133,7.1939239501953125,0.3083258657872437,6.11417293548584
