encoder,op,level,accuracy,max_severity,mean_severity,violation_rate
rate,clean,0.0,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,clean,0.25,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,clean,0.5,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,clean,0.75,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,clean,1.0,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,noise,0.0,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,noise,0.25,0.712,2.2600094479529683e-07,2.8452525549921074e-08,0.4215
rate,noise,0.5,0.587,2.2600094479529683e-07,2.7589499963798193e-08,0.4115
rate,noise,0.75,0.429,0.04999999999999875,0.00018752656380336346,0.412
rate,noise,1.0,0.302,0.0999999999999975,0.001075027036915209,0.4275
rate,blur,0.0,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,blur,0.25,0.746,0.1749999999999956,0.00037502519910534595,0.4065
rate,blur,0.5,0.746,0.22499999999999437,0.00018752544373274675,0.398
rate,blur,0.75,0.746,0.04999999999999875,2.502653151751899e-05,0.426
rate,blur,1.0,0.745,0.024999999999999373,2.5026016185693675e-05,0.4065
rate,dropout,0.0,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,dropout,0.25,0.7205,0.199999999999995,0.0006750258684158293,0.432
rate,dropout,0.5,0.692,0.0999999999999975,0.00047502497434616186,0.4075
rate,dropout,0.75,0.6245,0.024999999999999373,0.00045002674261729146,0.4285
rate,dropout,1.0,0.541,0.07499999999999812,0.000675026760001973,0.412
rate,occlusion,0.0,0.746,0.199999999999995,0.0009750265439351289,0.429
rate,occlusion,0.25,0.7305,0.199999999999995,0.000987526829540718,0.4325
rate,occlusion,0.5,0.59,0.199999999999995,0.0012750253928204187,0.4235
rate,occlusion,0.75,0.3415,0.12499999999999686,0.0012250269450247116,0.439
rate,occlusion,1.0,0.1505,0.14999999999999625,0.0017875264582534313,0.45
sparse,clean,0.0,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,clean,0.25,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,clean,0.5,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,clean,0.75,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,clean,1.0,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,noise,0.0,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,noise,0.25,0.53,2.2600094479529683e-07,2.5970240447619055e-08,0.4145
sparse,noise,0.5,0.3285,2.2600094479529683e-07,2.8142084692199207e-08,0.434
sparse,noise,0.75,0.23,2.2600094479529683e-07,2.630303304755579e-08,0.4135
sparse,noise,1.0,0.1705,2.2600094479529683e-07,2.8834988687444885e-08,0.428
sparse,blur,0.0,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,blur,0.25,0.7095,2.2600094479529683e-07,2.5705744835650227e-08,0.393
sparse,blur,0.5,0.7085,2.880891164321895e-07,2.7559697641153433e-08,0.4045
sparse,blur,0.75,0.7145,2.2600094479529683e-07,2.7219454460786803e-08,0.41
sparse,blur,1.0,0.71,2.2600094479529683e-07,2.5124599549628515e-08,0.4065
sparse,dropout,0.0,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,dropout,0.25,0.7035,2.2600094479529683e-07,2.5207797699381404e-08,0.4
sparse,dropout,0.5,0.6985,2.2600094479529683e-07,2.6303033047555793e-08,0.4135
sparse,dropout,0.75,0.639,2.2600094479529683e-07,2.8242667530084435e-08,0.4295
sparse,dropout,1.0,0.539,2.880891164321895e-07,2.899393440698336e-08,0.432
sparse,occlusion,0.0,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
sparse,occlusion,0.25,0.704,2.880891164321895e-07,2.5860965265205057e-08,0.4055
sparse,occlusion,0.5,0.5915,2.2600094479529683e-07,2.5961548103090288e-08,0.401
sparse,occlusion,0.75,0.362,2.2600094479529683e-07,2.6858101302304177e-08,0.422
sparse,occlusion,1.0,0.151,2.2600094479529683e-07,2.5767833007287123e-08,0.393
temporal,clean,0.0,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,clean,0.25,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,clean,0.5,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,clean,0.75,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,clean,1.0,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,noise,0.0,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,noise,0.25,0.7125,2.2600094479529683e-07,2.6804705474270863e-08,0.4105
temporal,noise,0.5,0.6425,2.2600094479529683e-07,2.8309722755341258e-08,0.4265
temporal,noise,0.75,0.471,0.024999999999999373,7.502758080761832e-05,0.426
temporal,noise,1.0,0.318,0.12499999999999686,0.0009375282103816567,0.435
temporal,blur,0.0,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,blur,0.25,0.734,0.1749999999999956,0.000375027639170492,0.4265
temporal,blur,0.5,0.7305,0.22499999999999437,0.0001875263291100746,0.407
temporal,blur,0.75,0.7295,0.04999999999999875,2.502479925752903e-05,0.391
temporal,blur,1.0,0.7175,0.024999999999999373,2.5025202830645134e-05,0.404
temporal,dropout,0.0,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,dropout,0.25,0.684,5.3999999999998645,0.024775027069200466,0.4415
temporal,dropout,0.5,0.6065,5.3999999999998645,0.02492502629930713,0.4345
temporal,dropout,0.75,0.485,5.3999999999998645,0.046500026805946074,0.4335
temporal,dropout,1.0,0.372,5.3999999999998645,0.1654500276354411,0.461
temporal,occlusion,0.0,0.734,5.3999999999998645,0.025275025141983605,0.424
temporal,occlusion,0.25,0.708,5.3999999999998645,0.030637525310863296,0.423
temporal,occlusion,0.5,0.584,5.3999999999998645,0.08437502505878397,0.4275
temporal,occlusion,0.75,0.336,5.3999999999998645,0.33078752395609184,0.4765
temporal,occlusion,1.0,0.142,5.3999999999998645,1.9408250170866161,0.6545
optim,clean,0.0,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,clean,0.25,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,clean,0.5,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,clean,0.75,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,clean,1.0,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,noise,0.0,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,noise,0.25,0.716,2.2600094479529683e-07,2.721572917034056e-08,0.406
optim,noise,0.5,0.595,2.2600094479529683e-07,2.6252120746332447e-08,0.4005
optim,noise,0.75,0.429,0.024999999999999373,0.00011252570822836014,0.4085
optim,noise,1.0,0.294,0.0999999999999975,0.0007625255542496783,0.432
optim,blur,0.0,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,blur,0.25,0.7435,0.1749999999999956,0.00036252637008826375,0.4175
optim,blur,0.5,0.743,0.22499999999999437,0.0001875262310107631,0.3975
optim,blur,0.75,0.746,0.04999999999999875,2.5027415653082773e-05,0.417
optim,blur,1.0,0.7445,0.024999999999999373,2.5027080376956033e-05,0.42
optim,dropout,0.0,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,dropout,0.25,0.718,0.07499999999999812,0.0005000270369152238,0.4295
optim,dropout,0.5,0.6835,0.024999999999999373,0.0003625269214312286,0.442
optim,dropout,0.75,0.6115,0.024999999999999373,0.00033752683574955164,0.424
optim,dropout,1.0,0.4935,0.024999999999999373,0.00027502666438619915,0.4125
optim,occlusion,0.0,0.7425,0.199999999999995,0.0008625259292622324,0.428
optim,occlusion,0.25,0.7295,0.14999999999999625,0.0006625257318218513,0.413
optim,occlusion,0.5,0.5895,0.07499999999999812,0.0005625276875992613,0.4365
optim,occlusion,0.75,0.36,0.12499999999999686,0.0007125263998905777,0.4355
optim,occlusion,1.0,0.1555,0.0999999999999975,0.00033752742682894535,0.412
