benchmark,encoder,op,level,accuracy,n_test,correct_approx,accuracy_CI95_low,accuracy_CI95_high,CI_method
emnist_letters,rate,clean,0.0,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,clean,0.25,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,clean,0.5,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,clean,0.75,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,clean,1.0,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,noise,0.0,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,noise,0.25,0.675,2000,1350,0.6542,0.6952,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,noise,0.5,0.548,2000,1096,0.5261,0.5697,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,noise,0.75,0.367,2000,734,0.3461,0.3884,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,noise,1.0,0.207,2000,414,0.1898,0.2253,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,blur,0.0,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,blur,0.25,0.6935,2000,1387,0.6729,0.7133,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,blur,0.5,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,blur,0.75,0.696,2000,1392,0.6755,0.7158,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,blur,1.0,0.691,2000,1382,0.6704,0.7109,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,dropout,0.0,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,dropout,0.25,0.642,2000,1284,0.6207,0.6627,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,dropout,0.5,0.6015,2000,1203,0.5799,0.6227,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,dropout,0.75,0.5115,2000,1023,0.4896,0.5334,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,dropout,1.0,0.406,2000,812,0.3847,0.4277,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,occlusion,0.0,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,occlusion,0.25,0.6815,2000,1363,0.6607,0.7016,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,occlusion,0.5,0.5305,2000,1061,0.5086,0.5523,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,occlusion,0.75,0.291,2000,582,0.2715,0.3113,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,rate,occlusion,1.0,0.106,2000,212,0.0933,0.1203,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,clean,0.0,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,clean,0.25,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,clean,0.5,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,clean,0.75,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,clean,1.0,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,noise,0.0,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,noise,0.25,0.4695,2000,939,0.4477,0.4914,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,noise,0.5,0.228,2000,456,0.2101,0.2469,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,noise,0.75,0.1075,2000,215,0.0947,0.1218,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,noise,1.0,0.0705,2000,141,0.0601,0.0826,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,blur,0.0,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,blur,0.25,0.6685,2000,1337,0.6476,0.6888,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,blur,0.5,0.6705,2000,1341,0.6496,0.6908,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,blur,0.75,0.6725,2000,1345,0.6516,0.6927,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,blur,1.0,0.6615,2000,1323,0.6405,0.6819,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,dropout,0.0,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,dropout,0.25,0.6555,2000,1311,0.6344,0.676,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,dropout,0.5,0.6125,2000,1225,0.591,0.6336,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,dropout,0.75,0.552,2000,1104,0.5301,0.5737,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,dropout,1.0,0.4435,2000,887,0.4219,0.4654,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,0.0,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,0.25,0.653,2000,1306,0.6319,0.6736,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,0.5,0.5235,2000,1047,0.5016,0.5453,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,0.75,0.279,2000,558,0.2598,0.2991,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,1.0,0.1165,2000,233,0.1032,0.1313,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,0.0,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,0.25,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,0.5,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,0.75,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
