benchmark,scenario,interpretation,lambda_P,lambda_R,lambda_S,encoder,P,R,S,TSI_P,TSI_R,R_safe,weighted_utility,rank
emnist_letters,balanced,equal weighting,0.3333,0.3333,0.3333,sparse,0.7653,0.6495,1.0,0.7653,0.6495,0.0,0.8049,1
emnist_letters,balanced,equal weighting,0.3333,0.3333,0.3333,rate,0.8318,0.6427,0.8391,0.8318,0.6427,0.1609,0.7712,2
emnist_letters,balanced,equal weighting,0.3333,0.3333,0.3333,optim,0.8342,0.6039,0.8562,0.8342,0.6039,0.1438,0.7648,3
emnist_letters,balanced,equal weighting,0.3333,0.3333,0.3333,temporal,0.8178,0.616,-3.0906,0.8178,0.616,4.0906,-0.5523,4
emnist_letters,performance_dominant,performance-prioritized,0.6,0.2,0.2,rate,0.8318,0.6427,0.8391,0.8318,0.6427,0.1609,0.7955,1
emnist_letters,performance_dominant,performance-prioritized,0.6,0.2,0.2,optim,0.8342,0.6039,0.8562,0.8342,0.6039,0.1438,0.7926,2
emnist_letters,performance_dominant,performance-prioritized,0.6,0.2,0.2,sparse,0.7653,0.6495,1.0,0.7653,0.6495,0.0,0.7891,3
emnist_letters,performance_dominant,performance-prioritized,0.6,0.2,0.2,temporal,0.8178,0.616,-3.0906,0.8178,0.616,4.0906,-0.0043,4
emnist_letters,stability_dominant,topological representational stability-prioritized,0.2,0.6,0.2,sparse,0.7653,0.6495,1.0,0.7653,0.6495,0.0,0.7428,1
emnist_letters,stability_dominant,topological representational stability-prioritized,0.2,0.6,0.2,rate,0.8318,0.6427,0.8391,0.8318,0.6427,0.1609,0.7198,2
emnist_letters,stability_dominant,topological representational stability-prioritized,0.2,0.6,0.2,optim,0.8342,0.6039,0.8562,0.8342,0.6039,0.1438,0.7005,3
emnist_letters,stability_dominant,topological representational stability-prioritized,0.2,0.6,0.2,temporal,0.8178,0.616,-3.0906,0.8178,0.616,4.0906,-0.085,4
emnist_letters,safety_dominant,safety-score-prioritized,0.2,0.2,0.6,sparse,0.7653,0.6495,1.0,0.7653,0.6495,0.0,0.883,1
emnist_letters,safety_dominant,safety-score-prioritized,0.2,0.2,0.6,optim,0.8342,0.6039,0.8562,0.8342,0.6039,0.1438,0.8014,2
emnist_letters,safety_dominant,safety-score-prioritized,0.2,0.2,0.6,rate,0.8318,0.6427,0.8391,0.8318,0.6427,0.1609,0.7983,3
emnist_letters,safety_dominant,safety-score-prioritized,0.2,0.2,0.6,temporal,0.8178,0.616,-3.0906,0.8178,0.616,4.0906,-1.5676,4
emnist_letters,performance_safety,performance-safety trade-off,0.45,0.1,0.45,sparse,0.7653,0.6495,1.0,0.7653,0.6495,0.0,0.8593,1
