benchmark,scenario,rank_1,rank_2,rank_3,rank_4
coco_4cls,balanced,sparse,rate,optim,temporal
coco_4cls,performance_dominant,sparse,rate,optim,temporal
coco_4cls,performance_safety,sparse,rate,optim,temporal
coco_4cls,safety_dominant,sparse,rate,optim,temporal
coco_4cls,stability_dominant,sparse,rate,optim,temporal
emnist_letters,balanced,sparse,rate,optim,temporal
emnist_letters,performance_dominant,rate,optim,sparse,temporal
emnist_letters,performance_safety,sparse,optim,rate,temporal
emnist_letters,safety_dominant,sparse,optim,rate,temporal
emnist_letters,stability_dominant,sparse,rate,optim,temporal
