benchmark,kind,file,exists
emnist_letters,figure,Fig3_Accuracy_vs_Level.png,True
emnist_letters,figure,Fig4_Severity_vs_Level.png,True
emnist_letters,figure,Fig8_Persistence_Diagrams.png,True
emnist_letters,figure,Fig9_TSI_vs_Level.png,True
emnist_letters,figure,Fig10a_TSI_vs_Acc.png,True
emnist_letters,figure,Fig10b_TSI_vs_Sev.png,True
emnist_letters,figure,Fig11_TriObjective_Projection.png,True
emnist_letters,table,Table1_EncodingStrategies.csv,True
emnist_letters,table,Table2_SafetyConstraints_SeverityDefinitions.csv,True
emnist_letters,table,Table3_DecoderConfig.csv,True
emnist_letters,table,Table4_Clean_PerfSafety.csv,True
emnist_letters,table,Table5_Worst_PerfSafety.csv,True
emnist_letters,table,Table8_TDA_TopologyMetrics.csv,True
emnist_letters,table,Table9_Correlations_PerEncoder.csv,True
emnist_letters,table,Table10_TriObjective_Summary.csv,True
coco_4cls,figure,Fig3_Accuracy_vs_Level.png,True
coco_4cls,figure,Fig4_Severity_vs_Level.png,True
coco_4cls,figure,Fig8_Persistence_Diagrams.png,True
coco_4cls,figure,Fig9_TSI_vs_Level.png,True
coco_4cls,figure,Fig10a_TSI_vs_Acc.png,True
coco_4cls,figure,Fig10b_TSI_vs_Sev.png,True
coco_4cls,figure,Fig11_TriObjective_Projection.png,True
coco_4cls,table,Table1_EncodingStrategies.csv,True
coco_4cls,table,Table2_SafetyConstraints_SeverityDefinitions.csv,True
coco_4cls,table,Table3_DecoderConfig.csv,True
coco_4cls,table,Table4_Clean_PerfSafety.csv,True
coco_4cls,table,Table5_Worst_PerfSafety.csv,True
coco_4cls,table,Table8_TDA_TopologyMetrics.csv,True
coco_4cls,table,Table9_Correlations_PerEncoder.csv,True
coco_4cls,table,Table10_TriObjective_Summary.csv,True
